rule,applicable_to,rule_location,type,implemented,rule_file,rule_element,rule_code,context_required,rule_id,uid
Use <bookmeta> as a container for metadata that applies to the entire publication.,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""bookmeta"">","<element name=""bookmeta"">\n      <optional>\n        <ref name=""authorinformation""/>\n      </optional>\n      <optional>\n        <ref name=""publisherinformation""/>\n      </optional>\n      <optional>\n        <ref name=""bookid""/>\n      </optional>\n      <optional>\n        <ref name=""bookrights""/>\n      </optional>\n    </element>",False,64,33e6b7a9-5b68-4638-aa71-d3cb0abf357e
Use <frontmatter> as a container for content that belongs before the body of the document.,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""frontmatter"">","<element name=""frontmatter"">\n      <optional>\n        <ref name=""notices""/>\n      </optional>\n      <optional>\n        <ref name=""preface""/>\n      </optional>\n      <optional>\n        <ref name=""booklists""/>\n      </optional>\n    </element>",False,65,d6cf53a9-c480-4e21-ad7e-61a39bc3e49f
"Use <notices> to provide all legal page content (disclaimers, copyright, trademark lists). Use @href to point to the topic.",Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""notices"">","<element name=""notices"">\n      <attribute name=""href"">\n        <data type=""string""/>\n      </attribute>\n      <optional>\n        <attribute name=""toc"">\n          <value>no</value>\n        </attribute>\n      </optional>\n    </element>",False,66,3a40e14f-e26d-4e79-a194-a63af4be2310
"To keep front matter topics from appearing in the TOC, set the @toc attribute value to 'no' on the <notices> element.",Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""notices"">","<optional>\n        <attribute name=""toc"">\n          <value>no</value>\n        </attribute>\n      </optional>",False,67,4e3d358a-1dba-4d52-be6c-ecaa1da05deb
Use <booklists> as a container for reference lists such as the table of contents.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""booklists"">","<element name=""booklists"">\n      <optional>\n        <ref name=""toc""/>\n      </optional>\n      <optional>\n        <ref name=""figurelist""/>\n      </optional>\n      <optional>\n        <ref name=""tablelist""/>\n      </optional>\n      <optional>\n        <ref name=""indexlist""/>\n      </optional>\n      <optional>\n        <ref name=""glossarylist""/>\n      </optional>\n    </element>",False,68,0febca4b-b115-4317-91b9-fbc1c3d22aa0
Use <toc> to include a table of contents in the output.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""toc"">","<element name=""toc"">\n      <empty/>\n    </element>",False,69,a42b6d7e-4649-47bd-9b28-54f664c7f792
Use the <figurelist> element to include a list of figures (optional). Only figures with a <title> are included.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""figurelist"">","<element name=""figurelist"">\n      <empty/>\n    </element>",False,70,5666444d-adb7-4a4d-b892-99f26bb807ee
Use the <tablelist> element to include a list of tables (optional). Only tables with a <title> are included.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""tablelist"">","<element name=""tablelist"">\n      <empty/>\n    </element>",False,71,d17acefd-0046-4999-9ce9-bcce5c2d5622
Use <preface> to reference a topic or map containing introductory information about a book.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""preface"">","<element name=""preface"">\n      <attribute name=""href"">\n        <data type=""string""/>\n      </attribute>\n    </element>",False,72,d4fa7800-c547-4594-b6c0-cef377791273
Use the <part> element as a container for related <chapter> elements. Nest a <navtitle> within a <topicmeta> for the part's title.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""part"">","<element name=""part"">\n      <ref name=""topicmeta""/>\n      <oneOrMore>\n        <ref name=""chapter""/>\n      </oneOrMore>\n    </element>",False,73,d859967e-4ef3-4e83-81c4-10212cb3f3f4
Use <chapter> to reference a chapter map using the @href attribute. A bookmap should always include at least one <chapter> element.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""chapter"">","<element name=""chapter"">\n      <attribute name=""href"">\n        <data type=""string""/>\n      </attribute>\n      <ref name=""topicmeta""/>\n      <zeroOrMore>\n        <choice>\n          <ref name=""topicref""/>\n          <ref name=""mapref""/>\n        </choice>\n      </zeroOrMore>\n    </element>",False,74,bb0bdc2f-7af7-4295-bff4-4075fe2169fa
Ryffine uses chapter-level maps to build chapters.,Bookmap,10,programmatic,False,,,,False,75,c54267ae-461b-478e-8985-77e40df2f5ed
Use <appendices> to group multiple <appendix> elements.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""appendices"">","<element name=""appendices"">\n      <optional><ref name=""topicmeta""/></optional>\n      <oneOrMore>\n        <ref name=""appendix""/>\n      </oneOrMore>\n    </element>",False,76,390aebe4-9314-4275-93cf-1c191647cb0b
Use <appendix> to reference a chapter map for an appendix using @href. Ryffine uses chapter-level maps for appendices.,Bookmap,10,rng,True,ryffineBookmap.rng,"<define name=""appendix"">","<element name=""appendix"">\n      <attribute name=""href"">\n        <data type=""string""/>\n      </attribute>\n      <ref name=""topicmeta""/>\n      <zeroOrMore>\n        <choice>\n          <ref name=""topicref""/>\n          <ref name=""mapref""/>\n        </choice>\n      </zeroOrMore>\n    </element>",False,77,6a2365c8-f2d6-4a16-96f9-0f8ba24337f2
Use <backmatter> as a container for content that belongs after the body of the document.,Bookmap,11,rng,True,ryffineBookmap.rng,"<define name=""backmatter"">","<element name=""backmatter"">\n      <optional>\n        <ref name=""booklists""/>\n      </optional>\n      <zeroOrMore>\n        <ref name=""topicref""/>\n      </zeroOrMore>\n      <optional><ref name=""reltable""/></optional>\n    </element>",False,78,4079ef64-363d-4500-9ff3-11f4d41626d8
Use <indexlist> to include an automatically generated index.,Bookmap,11,rng,True,ryffineBookmap.rng,"<define name=""indexlist"">","<element name=""indexlist"">\n      <empty/>\n    </element>",False,79,d2ad34a2-0dd2-445e-b49b-2194d857b766
Use <glossarylist> to point to a map of glossary terms using the @href attribute.,Bookmap,11,rng,True,ryffineBookmap.rng,"<define name=""glossarylist"">","<element name=""glossarylist"">\n      <attribute name=""href"">\n        <data type=""string""/>\n      </attribute>\n    </element>",False,80,47128ebf-f184-4e16-93f7-d7e162514801
The title of your bookmap must be the name of your publication.,Bookmap,11,semantic,False,,,,False,81,64ab19e5-aa34-4cbb-9e7d-e73babb059d2
"Use at least two tags for publication name: <booktitle> (first element), and <mainbooktitle>. Use <booklibrary> for product family.",Bookmap,11,rng,True,ryffineBookmap.rng,"<define name=""booktitle"">","<element name=""booktitle"">\n      <optional>\n        <ref name=""booklibrary""/>\n      </optional>\n      <ref name=""mainbooktitle""/>\n      <optional>\n        <ref name=""booktitlealt""/>\n      </optional>\n    </element>",False,82,9b612a4f-dd95-48bb-89e5-c46596fb569e
"When titling publications, you can include a descriptor before the document type (e.g., Hardware Description).",Bookmap,11,semantic,False,,,,False,83,f64d4313-83a0-4808-ad60-9f2e835089cb
"Unlike map and topic titles, use title case for publications.",Bookmap,11,semantic,False,,,,False,84,840bf087-c655-4bba-98d5-50927fcaeb05
"Immediately following the <bookmeta> section, include a <frontmatter> element in the bookmap.",Bookmap,11,rng,True,ryffineBookmap.rng,"<define name=""bookmap"">","<ref name=""bookmeta""/>\n      <ref name=""frontmatter""/>",False,85,292f057f-36ee-4bed-93d1-aa03e281509b
"To generate a table of contents, nest a <booklists> element in <frontmatter> and a <toc> element within <booklists>.",Bookmap,11,rng,True,ryffineBookmap.rng,"<define name=""booklists"">","<optional>\n        <ref name=""toc""/>\n      </optional>",False,86,27005f0e-feb9-40f1-9781-26829dc00aa2
<frontmatter> can optionally include <notices> (use @href) and <preface>.,Bookmap,11-12,rng,True,ryffineBookmap.rng,"<define name=""frontmatter"">","<optional>\n        <ref name=""notices""/>\n      </optional>\n      <optional>\n        <ref name=""preface""/>\n      </optional>",False,87,9d10e40a-19fe-4aec-830a-3dd5976cf0ed
"Following the front matter section, include all chapters and appendixes using <chapter> and <appendix> elements with @href attributes.",Bookmap,12,rng,True,ryffineBookmap.rng,"<define name=""bookmap"">","<ref name=""frontmatter""/>\n      <oneOrMore>\n        <ref name=""chapter""/>\n      </oneOrMore>\n      <optional>\n        <choice>\n          <oneOrMore>\n            <ref name=""appendix""/>\n          </oneOrMore>\n          <ref name=""appendices""/>\n        </choice>\n      </optional>",False,88,a91abf1d-8c4d-408a-9f87-05e99f96e377
"Within the bookmap, include titles for each chapter/appendix: after <chapter>/<appendix>, nest <topicmeta>, then nest <navtitle> with the title.",Bookmap,12,rng,True,ryffineBookmap.rng,"<define name=""chapter""> / <define name=""appendix"">","<ref name=""topicmeta""/> (inside chapter/appendix)\n\n<define name=""topicmeta"">\n <ref name=""navtitle""/>\n ...\n</define>",False,89,5ddba0f7-4e55-4239-ae49-c3cd9f4791cd
Best practice: build each chapter or appendix in a separate map.,Bookmap,12,programmatic,False,,,,False,90,8ee57291-443b-4565-b9d2-837ac1b6010e
"If a chapter/appendix has fewer than three topics, consider building it directly in the bookmap (nest <topicref> within <chapter>/<appendix>).",Bookmap,12,rng,False,,,,False,91,09e0ed7e-4936-4625-8d95-68f9c1281e8f
"If including a glossary or index, add a <backmatter> element. Inside <backmatter>, add <booklists>, then nest <glossarylist> or <indexlist>.",Bookmap,12,rng,True,ryffineBookmap.rng,"<define name=""backmatter""> / <define name=""booklists"">","<optional>\n        <ref name=""booklists""/>\n      </optional>\n... (inside backmatter)\n\n<optional>\n        <ref name=""glossarylist""/>\n      </optional>\n      <optional>\n        <ref name=""indexlist""/>\n      </optional> (inside booklists)",False,92,66149a2a-456a-4780-b4f7-9e5f92c3db34
"When adding <glossarylist>, point its @href attribute to the glossary map file.",Bookmap,12,rng,True,ryffineBookmap.rng,"<define name=""glossarylist"">","<attribute name=""href"">\n        <data type=""string""/>\n      </attribute>",False,93,9ae2cd4f-5bf5-4d14-9973-bc19e20682ec
"When adding <indexlist>, do not use the @href attribute; the processor auto-creates it.",Bookmap,12,rng,False,,,,False,94,012cdac1-89c6-47c6-bcb7-31f2ddf5e7bd
"Tasks provide procedural, step-by-step instructions for a goal. Answers 'How Do I...'.",Task,14,semantic,False,,,,False,95,1780a1cb-c1ee-4094-95bb-579796368510
Concepts provide overview and background information. Answers 'What is...'.,Concept,14,semantic,False,,,,False,96,5bb06054-dab4-4cf4-a8e6-10ba075c9756
"References provide 'look-up' information. Answers 'How Much...', 'How Many...', 'What Form...'.",Reference,14,semantic,False,,,,False,97,2b3c7119-b2f2-4876-af9d-c51214ef054d
Troubleshooting provides information on corrective actions.,Troubleshooting,14,semantic,False,,,,False,98,ac7c1dcb-8c5b-45d2-9fd3-77235d960d7b
Scripts describe a code sample in no more than 1 paragraph.,Scripts,14,semantic,False,,,,False,99,9a5166ee-627c-4169-a1fd-6702444fca78
"Field definitions provide details about fields, in a properties table.",Field definitions,14,programmatic,False,,,,False,100,471e8573-0ea7-4882-a3df-7ad37e7fb2ba
All content must be placed into topics based on one of the basic information types.,"Task, Concept, Reference, Troubleshooting, Glossary terms, Learning overview, Scripts, Field definitions",14,semantic,False,,,,False,101,b07b7069-42a5-41e5-aa89-d4fd571e5313
Don't mix information types within a single topic file.,"Task, Concept, Reference, Troubleshooting, Glossary terms, Learning overview, Scripts, Field definitions",14,semantic,False,,,,False,102,affbbf0e-f1cb-4939-8399-c3d0921665d3
"All topics must have a title, a short description, and a prolog section.","Task, Concept, Reference, Troubleshooting, Glossary terms, Learning overview, Scripts, Field definitions",14,rng,True,ryffineConcept.rng / ryffineTask.rng / etc.,"<define name=""concept""> (example)","<ref name=""title""/>\n      <ref name=""shortdesc""/>\n      <ref name=""prolog""/>",False,103,7d047040-4616-4d7d-aa0c-39a0486ad5bb
Provide a title for every topic.,"Task, Concept, Reference, Troubleshooting, Glossary terms, Learning overview, Scripts, Field definitions",15,rng,True,ryffineConcept.rng / ryffineTask.rng / etc.,"<define name=""concept""> (example)","<ref name=""title""/>",False,104,c7f2c7fe-59f1-49d2-911e-b7022c50d5ff
"The <title> element is the first element within a topic root element (e.g., <task>, <reference>).","Task, Concept, Reference, Troubleshooting, Glossary terms, Learning overview, Scripts, Field definitions",15,rng,True,ryffineConcept.rng / ryffineTask.rng / etc.,"<define name=""concept""> (example)","<element name=""concept"">\n      <ref name=""id-atts""/>\n      <ref name=""lang-atts""/>\n      <ref name=""title""/>\n      ...",False,105,d35edf35-7e1b-485a-9821-ae751feeb7bd
